blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
1,67469,71,823,187,126780,1,42,34,76,143,63,0,1,7,3,2,2,1,1,3,0,87753,99,954,218,158470,0,34,42,62,153,67,1,0,8,4,2,2,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,1
1,45987,57,561,152,67554,0,33,12,64,60,32,1,1,6,2,1,3,1,1,3,2,51668,69,656,124,57517,1,12,33,15,76,23,0,0,4,1,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,60990,67,896,210,128254,1,20,34,41,116,55,0,0,3,1,2,0,0,1,3,1,91921,104,880,267,195450,0,34,20,98,150,60,1,1,10,6,2,2,2,0,3,1,1,0,0,0,1,1,0,0,0,0,1,0
1,42766,58,581,154,57991,0,24,13,32,151,32,1,0,5,1,2,2,0,0,2,1,51239,74,661,124,72031,1,13,24,16,59,39,0,0,3,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0
0,38403,51,572,134,51901,1,15,24,35,64,33,0,0,1,0,0,1,0,1,1,2,57813,80,701,151,72550,0,24,15,52,79,21,1,0,5,3,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1
0,46816,56,571,181,85088,0,26,36,53,78,32,0,0,5,3,1,1,0,0,2,1,71285,83,674,136,90309,1,36,26,61,79,46,1,1,8,5,1,2,2,1,2,1,0,0,0,1,0,1,1,0,0,1,0,0
0,39562,55,642,144,57587,0,12,30,24,87,20,1,0,2,0,1,1,0,0,0,1,61991,83,643,158,91014,1,30,12,62,96,43,0,1,7,5,0,2,1,1,4,1,0,0,0,0,0,0,1,0,0,1,0,1
1,47768,54,593,114,66231,1,31,24,51,54,28,1,1,7,3,3,1,2,1,2,2,60617,81,664,160,83909,0,24,31,46,73,20,0,0,4,2,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0
1,59035,63,589,147,114131,1,37,32,60,82,44,0,0,4,3,0,1,1,0,1,2,65526,84,671,170,104889,0,32,37,45,128,32,1,1,4,2,2,0,1,1,3,0,0,0,0,0,1,0,0,0,1,0,1,1
0,32751,46,480,92,38976,1,17,29,25,37,17,0,0,1,0,1,0,0,0,0,1,52497,67,569,78,81406,0,29,17,49,50,11,1,0,6,3,2,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1
1,38075,53,552,138,57177,0,18,11,33,59,25,0,0,4,1,2,1,0,1,2,2,46714,68,626,120,47821,1,11,18,19,52,21,1,0,3,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
0,32510,47,466,108,34912,0,11,26,15,57,14,0,0,3,2,1,0,0,0,0,2,52817,68,555,116,56957,1,26,11,33,55,23,1,1,6,2,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1
0,25993,42,410,75,28760,1,8,21,13,50,21,0,0,0,0,0,0,0,0,0,1,44949,63,571,113,53526,0,21,8,37,112,20,1,0,4,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1
0,29339,43,356,99,43567,0,18,29,30,180,16,0,0,0,0,0,0,0,0,0,0,52992,66,500,119,70653,1,29,18,55,46,21,1,1,9,5,2,2,1,1,3,2,0,0,0,0,0,0,0,1,1,0,0,1
1,54559,63,613,139,122089,0,37,32,70,82,28,0,1,7,4,1,2,1,1,2,0,67795,84,676,157,113185,1,32,37,60,74,37,1,0,6,3,1,2,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0
1,56751,65,633,164,121615,0,44,31,94,92,44,1,1,7,3,2,2,1,0,1,0,66092,84,631,161,113966,1,31,44,54,77,26,0,0,3,1,0,2,0,1,3,2,0,0,0,1,0,0,1,0,0,1,1,0
0,26507,38,352,70,29776,1,12,23,18,69,10,0,0,2,1,1,0,0,0,0,0,39579,58,404,76,48602,0,23,12,41,40,10,1,0,2,0,1,1,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0
0,22868,39,324,63,25036,1,10,18,9,28,11,1,0,1,1,0,0,0,0,0,1,35774,55,448,71,47553,0,18,10,22,46,11,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,38316,54,610,143,45866,0,15,8,39,56,29,1,0,3,2,0,1,0,0,1,1,44505,70,650,135,47872,1,8,15,15,61,19,0,0,2,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1
0,35548,50,509,124,47867,0,15,24,20,171,28,1,0,3,2,0,1,0,0,0,2,57974,77,654,143,61175,1,24,15,42,74,32,0,0,6,2,3,1,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0
1,61696,68,808,190,139049,0,27,32,63,120,47,1,0,10,5,3,2,1,1,3,1,80187,100,845,261,131609,1,32,27,49,99,35,0,1,7,3,2,2,1,0,2,1,0,0,1,0,1,1,0,0,1,0,0,0
0,17742,36,322,38,20223,0,4,17,3,27,5,0,0,0,0,0,0,0,0,0,0,36619,58,417,101,32286,1,17,4,17,65,6,1,0,3,2,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,49285,60,725,144,84892,0,24,29,50,87,47,0,0,2,1,0,1,0,1,1,1,75269,91,848,191,104807,1,29,24,46,93,41,1,1,10,5,3,2,1,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0
0,27681,44,466,95,35971,0,9,24,14,74,15,0,0,0,0,0,0,0,0,1,0,46427,67,549,112,60924,1,24,9,39,48,17,1,0,4,1,2,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1
0,42582,57,582,163,77184,0,22,33,32,74,32,1,0,2,1,0,1,0,0,3,1,70714,88,707,171,121014,1,33,22,65,92,32,0,1,9,5,2,2,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
1,53524,62,626,149,81425,1,34,15,74,107,20,0,0,7,4,1,2,2,0,2,1,63491,82,717,178,70451,0,15,34,23,56,35,1,1,8,2,4,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1
1,37910,51,534,137,59390,0,17,12,30,61,32,0,1,6,4,1,1,1,1,3,2,43447,66,565,91,55839,1,12,17,9,170,25,1,0,4,1,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,38692,52,472,140,44995,0,23,14,30,72,29,0,0,4,2,1,1,0,1,3,1,42192,68,515,101,42332,1,14,23,17,74,20,1,0,2,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
0,29631,45,485,108,45580,1,7,23,5,59,20,0,0,2,2,0,0,0,1,2,2,44822,70,573,115,56871,0,23,7,27,54,19,1,0,4,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,47146,56,555,128,71838,1,32,16,49,63,27,1,0,8,5,1,2,0,0,1,2,49617,73,577,120,78548,0,16,32,26,77,17,0,1,3,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,56800,64,786,235,99317,0,20,37,26,127,45,0,1,5,2,1,2,1,0,2,2,81162,97,850,191,147972,1,37,20,71,147,56,1,0,12,6,5,1,2,1,3,0,1,0,0,1,0,0,1,0,0,0,0,1
0,37357,49,536,116,43485,0,14,23,19,55,21,1,0,3,1,1,1,0,1,2,1,59495,78,609,166,88932,1,23,14,41,84,23,0,1,10,5,2,3,2,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
0,21409,38,364,83,19642,0,4,14,3,31,19,0,0,0,0,0,0,0,0,0,1,38353,61,512,96,29301,1,14,4,20,50,17,1,0,4,1,2,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0
1,58316,65,695,188,126373,1,36,25,94,110,34,0,1,8,5,2,1,1,0,2,2,68638,89,752,181,130478,0,25,36,48,129,50,1,0,4,1,0,3,0,1,3,0,0,1,0,0,0,1,1,1,0,0,0,0
1,35650,51,488,119,53486,1,18,8,27,91,44,0,0,3,1,1,1,0,1,1,0,45375,67,614,106,54841,0,8,18,13,76,35,1,0,2,1,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0
1,37287,50,438,103,48203,1,31,15,59,47,17,1,0,2,1,0,1,0,1,3,1,47704,64,500,123,50771,0,15,31,18,50,13,0,0,3,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
1,50698,59,574,189,89564,0,32,16,72,102,27,1,0,4,2,1,1,0,1,3,2,47907,76,542,97,67093,1,16,32,27,351,29,0,0,4,1,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,38278,51,541,136,45876,1,22,10,33,69,46,0,0,4,2,2,0,0,1,2,1,42268,65,531,119,43918,0,10,22,18,80,31,1,0,2,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
0,33869,46,465,105,38861,0,13,24,24,60,14,0,0,2,1,0,1,0,0,0,2,51502,67,560,130,71562,1,24,13,35,84,27,1,0,6,2,2,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,44328,57,647,150,68705,1,20,34,35,66,34,0,0,1,1,0,0,0,0,0,0,70704,90,726,179,99210,0,34,20,74,91,29,1,1,8,3,3,2,1,1,4,2,0,0,0,0,0,0,1,1,0,0,1,0
0,47069,55,577,171,82446,0,27,38,46,133,25,1,0,2,1,1,0,0,0,0,1,72679,87,626,146,135758,1,38,27,60,232,25,0,1,11,5,2,4,2,1,3,1,0,0,0,0,0,0,0,0,1,1,0,1
0,51308,62,742,141,79551,0,23,35,34,110,43,0,0,3,0,1,2,0,0,0,1,78617,95,868,225,117254,1,35,23,63,88,58,1,1,13,7,3,3,2,1,4,1,0,0,0,0,0,0,0,1,0,1,0,1
0,55585,63,770,164,110622,1,27,40,50,113,40,0,0,3,1,1,1,0,1,3,1,80255,95,817,216,143372,0,40,27,73,98,47,1,1,7,5,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0
1,36282,50,526,124,57711,1,19,9,29,61,23,0,0,4,2,1,1,0,0,2,2,38920,64,533,91,48975,0,9,19,13,48,23,1,0,3,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1,36965,49,509,107,50315,0,26,10,34,45,15,0,0,5,1,2,2,0,0,1,0,37662,61,468,72,55735,1,10,26,11,36,6,1,0,1,1,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0
1,43017,52,499,139,77632,0,34,11,39,60,19,0,0,6,5,1,0,0,1,3,2,38682,63,530,62,55952,1,11,34,7,59,20,1,1,4,0,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,41733,55,622,127,54882,1,25,12,45,60,32,0,0,4,2,1,1,0,1,3,1,49599,73,662,131,50272,0,12,25,14,91,19,1,0,3,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
0,33088,49,490,121,42357,1,13,28,14,64,17,0,0,2,1,0,1,0,0,1,1,54886,72,599,126,78903,0,28,13,46,82,30,1,0,5,2,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1
0,30310,45,458,68,39989,0,11,34,14,61,11,0,0,0,0,0,0,0,1,1,1,53772,69,525,106,75170,1,34,11,47,49,32,1,0,6,2,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
1,33607,51,440,107,43319,0,18,8,37,79,27,1,0,5,3,1,1,0,1,1,1,46270,71,805,144,55481,1,8,18,7,63,23,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0,43900,55,653,126,59399,1,14,27,20,104,32,1,0,3,1,1,1,0,0,0,2,66524,86,800,184,95027,0,27,14,51,72,53,0,1,8,5,2,1,1,1,4,0,0,0,0,0,0,0,1,0,1,0,1,0
1,38913,49,526,80,52733,1,32,6,48,46,13,0,1,5,4,0,1,1,0,0,1,36021,62,473,96,39775,0,6,32,4,46,11,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,33289,49,511,96,42022,1,13,24,17,83,17,0,0,0,0,0,0,0,0,0,1,50116,73,484,131,61749,0,24,13,43,47,19,1,1,8,5,2,1,1,1,3,1,0,0,0,0,0,0,0,1,1,0,0,1
0,19715,36,337,72,22976,1,5,25,6,35,8,0,0,0,0,0,0,0,1,1,0,40858,57,468,108,47899,0,25,5,33,35,12,1,0,4,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
1,56346,62,629,142,130225,0,36,38,81,144,36,0,0,7,5,1,1,1,1,2,0,73753,89,707,190,125232,1,38,36,64,81,34,1,1,8,3,3,2,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,1
0,28535,44,431,110,26996,1,9,24,6,37,12,0,0,0,0,0,0,0,0,0,1,46914,69,558,129,53150,0,24,9,17,72,14,1,0,6,2,1,3,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,1
1,35921,47,439,121,44430,0,20,12,28,33,17,1,1,7,5,1,1,1,0,1,2,39837,61,477,80,42353,1,12,20,20,39,9,0,0,2,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,38051,50,507,113,44577,1,26,8,39,49,24,1,0,4,1,1,2,0,1,1,1,39587,61,466,116,46824,0,8,26,18,118,12,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
1,45130,55,619,138,67884,1,27,13,54,54,34,1,1,5,2,1,2,1,0,2,2,48339,74,683,120,50047,0,13,27,14,77,24,0,0,4,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
0,45263,58,683,128,77677,1,17,17,45,111,34,0,0,2,0,1,1,0,0,2,2,65532,87,797,214,87014,0,17,17,37,89,35,1,1,7,4,1,2,1,1,3,0,1,0,0,1,0,0,1,1,0,0,0,0
0,48608,57,669,152,74201,0,23,46,48,101,31,0,0,1,0,0,1,0,0,0,2,75773,91,751,182,127601,1,46,23,63,133,50,1,1,12,6,4,2,1,1,4,0,0,0,0,0,0,0,0,1,1,0,0,1
1,30664,43,441,104,34160,1,19,5,23,31,15,1,0,3,1,1,1,0,1,2,2,29890,54,362,79,29921,0,5,19,4,33,7,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,38501,50,542,128,68822,1,17,32,21,63,21,0,0,1,0,0,1,0,0,0,1,61849,83,643,136,89931,0,32,17,56,76,22,1,1,12,6,3,3,2,1,4,1,0,0,0,0,0,0,1,0,0,1,1,0
1,29542,40,388,83,34950,1,14,4,14,36,10,1,0,3,2,0,1,0,1,1,0,28442,52,412,77,26429,0,4,14,4,35,12,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,69168,71,752,291,138408,1,45,24,101,82,45,1,0,8,5,3,0,1,0,1,1,76618,93,850,170,135910,0,24,45,46,103,29,0,1,5,1,1,3,2,1,4,1,0,0,0,1,0,0,0,1,0,1,1,0
0,40779,53,600,113,65019,1,23,40,27,78,16,0,0,1,1,0,0,0,0,0,1,69815,86,685,146,121507,0,40,23,46,76,31,1,1,11,4,3,4,2,1,4,1,0,0,0,0,0,0,1,1,1,0,0,0
0,53193,63,776,157,83937,0,22,34,45,104,48,0,0,2,1,1,0,0,0,1,2,73974,94,824,206,130481,1,34,22,79,91,52,1,0,4,2,0,2,0,1,4,0,0,1,0,0,0,0,0,1,0,1,1,0
0,30557,43,453,84,47954,0,15,35,23,58,14,0,0,0,0,0,0,0,0,0,0,56937,72,482,155,68892,1,35,15,40,53,26,1,0,6,2,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0
0,45701,57,655,180,65847,0,13,23,25,120,45,1,0,5,2,2,1,0,1,1,2,69026,87,789,164,112171,1,23,13,40,119,54,0,1,9,5,3,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
1,29103,40,322,84,37468,0,26,11,23,70,10,1,0,2,1,0,1,0,1,1,1,33990,52,413,39,40152,1,11,26,13,32,13,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,19442,37,367,76,16776,0,1,16,1,38,9,0,0,0,0,0,0,0,0,0,0,34369,55,439,104,33794,1,16,1,15,38,15,1,0,2,0,1,1,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0
0,41734,52,549,128,62834,1,20,40,33,80,31,0,0,1,1,0,0,0,0,1,1,66481,82,581,164,91828,0,40,20,52,71,35,1,1,12,5,3,4,1,1,3,1,0,0,1,0,0,0,0,1,1,0,0,1
1,26094,41,360,81,31350,1,17,7,20,39,9,0,0,0,0,0,0,0,0,0,1,32045,54,408,78,28691,0,7,17,11,28,7,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0
1,40745,50,527,108,65129,1,25,9,41,53,49,1,1,8,5,1,2,2,1,2,2,42229,65,556,106,43691,0,9,25,7,108,10,0,0,4,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,35075,47,366,116,45022,1,17,27,20,54,17,1,0,4,1,2,1,0,0,1,1,57627,78,724,129,77176,0,27,17,37,61,20,0,1,7,3,1,3,2,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0
1,59778,62,698,132,132884,1,41,34,78,82,27,1,1,11,5,3,3,4,0,1,2,72478,90,762,150,117917,0,34,41,75,69,34,0,0,4,0,1,3,1,1,3,0,1,0,0,0,0,0,1,0,0,1,1,0
1,41772,55,536,116,55464,0,23,17,36,48,26,1,1,5,2,2,1,1,0,0,2,46790,69,483,141,69348,1,17,23,38,45,11,0,0,4,2,0,2,0,1,3,0,0,0,0,0,0,0,1,0,1,1,0,0
1,40203,55,573,148,52866,1,22,7,34,42,12,0,1,5,3,1,1,1,0,2,2,41767,70,600,127,46434,0,7,22,6,58,15,1,0,3,2,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
1,42788,51,462,160,72379,1,37,19,43,88,48,1,1,6,3,2,1,1,1,2,2,47809,70,541,75,63186,0,19,37,25,116,17,0,0,3,1,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
1,34144,42,375,66,46600,1,30,10,38,39,6,0,0,4,2,2,0,0,1,2,1,31997,54,368,79,34900,0,10,30,20,24,13,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,39934,51,522,121,62355,0,26,18,26,92,18,1,0,7,2,2,3,0,1,2,1,46424,66,561,103,60472,1,18,26,18,51,14,0,0,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,38996,50,498,96,78495,1,23,48,41,38,17,0,0,0,0,0,0,0,1,1,0,69835,83,577,168,142392,0,48,23,94,75,10,1,1,10,5,2,3,2,0,2,2,0,0,0,0,1,0,0,0,0,1,0,1
0,53439,61,649,160,90274,1,35,37,64,107,35,0,0,4,1,1,2,0,1,1,2,70447,88,740,158,121757,0,37,35,50,98,40,1,1,7,5,1,1,1,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0
1,31289,43,374,105,42439,0,27,7,37,37,10,1,0,4,2,0,2,0,1,2,1,29963,54,383,81,40688,1,7,27,9,33,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,41300,56,594,178,54582,0,24,9,31,69,27,0,0,2,1,0,1,0,0,2,0,47151,72,656,151,40526,1,9,24,10,285,26,1,0,3,0,1,2,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0
1,41860,56,519,145,65832,1,29,13,44,120,22,1,1,5,3,0,2,1,1,3,1,47270,70,529,124,58044,0,13,29,15,119,18,0,0,3,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1,32127,42,400,95,40675,1,23,9,24,37,11,1,0,4,1,1,2,0,0,0,1,32638,57,387,92,36522,0,9,23,8,37,14,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0
1,51923,62,670,134,71920,1,35,14,53,84,35,0,1,6,2,3,1,1,0,2,2,55061,78,706,165,72511,0,14,35,12,73,26,1,0,7,2,3,2,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0
1,54128,63,614,164,86063,0,37,16,63,88,15,1,1,7,2,2,3,2,1,4,2,56095,79,696,115,87825,1,16,37,30,64,31,0,0,5,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1,36635,52,550,120,49649,0,23,13,29,63,21,0,0,0,0,0,0,0,0,1,1,46014,69,618,101,50690,1,13,23,11,59,24,1,0,5,0,2,3,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0
0,43860,54,595,159,69761,1,16,28,25,100,38,1,1,6,2,1,3,1,0,2,2,66925,85,772,182,93969,0,28,16,55,89,51,0,0,8,6,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
1,49747,56,571,141,85677,0,44,17,74,61,20,1,0,7,2,2,3,0,1,3,1,50394,70,574,90,73263,1,17,44,30,53,14,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
1,54419,59,585,122,93855,1,40,25,76,52,32,1,1,8,4,1,3,2,0,3,1,61773,78,576,147,79699,0,25,40,63,72,19,0,0,3,2,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
1,35055,49,505,128,33382,1,18,6,32,42,17,1,1,5,3,1,1,1,1,2,2,36696,64,553,99,27412,0,6,18,8,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,59189,65,655,194,109675,1,41,32,68,76,41,0,1,6,3,2,1,2,0,2,1,70555,88,668,117,116458,0,32,41,52,190,28,1,0,9,3,3,3,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1
1,53261,59,620,169,81281,1,39,24,77,77,28,1,0,6,4,1,1,0,0,1,1,57414,76,608,136,89200,0,24,39,30,69,27,0,1,6,2,2,2,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,1
0,54568,66,825,147,101404,0,24,34,42,178,57,0,0,2,2,0,0,0,1,3,1,84401,101,894,230,116249,1,34,24,66,131,62,1,1,11,5,3,3,4,0,2,1,0,0,0,1,1,1,0,0,0,1,0,0
0,19032,35,232,56,17836,0,11,28,10,18,6,0,0,0,0,0,0,0,0,0,1,45760,61,536,104,61589,1,28,11,32,31,4,1,0,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,44359,58,616,183,69248,0,20,26,45,61,35,0,0,2,1,1,0,0,0,0,2,65095,86,729,122,86004,1,26,20,48,77,29,1,1,12,5,4,3,3,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1
0,40102,53,506,143,105593,1,22,38,37,52,19,1,0,3,0,2,1,0,1,1,1,66520,86,627,163,103985,0,38,22,70,68,18,0,1,8,3,2,3,2,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1
1,56820,66,636,188,92635,0,34,27,67,147,34,1,0,9,3,3,3,1,0,1,0,67630,84,730,158,104900,1,27,34,49,79,43,0,1,5,2,1,2,1,1,3,2,0,0,0,0,0,1,1,0,1,0,0,1
0,38515,51,580,120,42634,1,16,27,26,64,19,0,0,3,0,2,1,0,1,2,0,60874,79,655,163,75142,0,27,16,43,52,19,1,1,9,5,1,3,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0
0,34627,48,506,66,43516,0,16,29,16,65,16,0,0,1,0,1,0,0,0,1,0,59900,76,592,187,82537,1,29,16,48,130,34,1,1,8,5,1,2,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
