gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds
KR_6425150554,TRUE,22475,5035,44,8.8,376,71,18892,0,3,4,5,27,8,0,0,,0,0,0,0,0,0,,0,1,FALSE,22678,3688,45,9,419,71,16860,1,4,3,7,31,10,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0
KR_6418130980,FALSE,25847,2527,45,9,348,76,22720,0,9,7,10,83,8,1,0,MID_LANE,1,1,0,0,0,0,,0,1,TRUE,26001,2726,45,9,389,76,18515,1,7,9,6,40,12,0,0,,0,0,0,0,0,1,"WATER_DRAGON,EARTH_DRAGON",2,0
KR_6420873992,TRUE,24373,2973,43,8.6,374,84,19769,0,4,6,6,36,11,1,0,BOT_LANE,1,0,0,1,0,1,"CHEMTECH_DRAGON,HEXTECH_DRAGON",2,1,FALSE,24086,2761,46,9.2,374,84,19408,1,6,4,5,26,13,0,0,,0,0,0,0,0,0,,0,0
KR_6423545166,FALSE,19570,1350,41,8.2,304,38,21859,0,4,16,3,23,4,0,0,,0,0,0,0,0,0,,0,0,TRUE,29973,6638,48,9.6,374,88,26047,1,16,4,16,58,5,1,0,BOT_LANE,1,0,0,1,0,1,FIRE_DRAGON,1,1
KR_6405785888,FALSE,24328,3208,45,9,343,68,26479,0,7,13,13,29,12,0,0,,0,0,0,0,0,0,,0,1,TRUE,29979,1129,46,9.2,403,70,35037,1,13,7,16,28,10,1,0,MID_LANE,1,1,0,0,0,0,,0,0
KR_6416559145,FALSE,24695,2450,44,8.8,377,71,23862,0,8,11,11,55,11,0,0,,0,0,0,0,0,0,,0,0,TRUE,26361,3056,44,8.8,390,64,26957,1,11,8,14,30,8,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,1
KR_6412971919,FALSE,27774,2564,46,9.2,333,79,28334,0,14,8,14,30,13,1,0,BOT_LANE,1,0,0,1,0,0,AIR_DRAGON,1,0,TRUE,24929,1199,43,8.6,344,72,25129,1,8,14,9,35,10,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1
KR_6424139725,TRUE,25291,1666,43,8.6,337,56,28127,1,10,5,18,39,8,0,0,,1,0,0,1,0,0,,0,0,FALSE,23980,1675,44,8.8,344,89,21603,0,5,10,6,26,6,1,0,TOP_LANE,1,0,1,0,0,1,"HEXTECH_DRAGON,CHEMTECH_DRAGON",2,1
KR_6423214362,TRUE,24288,4684,41,8.2,313,80,27650,0,9,8,16,38,14,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1,FALSE,22810,1925,41,8.2,333,45,23926,1,8,9,6,102,14,1,0,TOP_LANE,1,0,1,0,0,0,,0,0
KR_6424317033,TRUE,26776,1512,44,8.8,348,70,25930,0,13,11,8,34,15,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,FALSE,23800,2770,44,8.8,314,70,23081,1,11,13,9,40,8,1,0,BOT_LANE,1,0,0,1,0,0,,0,0
KR_6419522394,FALSE,23288,3173,44,8.8,357,82,24116,1,5,10,0,36,9,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1,TRUE,24699,649,46,9.2,393,73,24210,0,10,5,6,31,12,0,0,,0,0,0,0,0,0,,0,0
KR_6397296568,TRUE,30333,4023,46,9.2,382,80,27029,1,16,6,20,28,10,1,0,MID_LANE,2,1,0,1,0,0,,0,1,FALSE,22482,3097,42,8.4,335,80,23169,0,6,16,9,34,7,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0
KR_6423462711,FALSE,28240,5605,47,9.4,391,102,26605,0,11,9,9,35,8,0,0,,0,0,0,0,0,0,EARTH_DRAGON,1,1,TRUE,23379,964,44,8.8,299,76,19794,1,9,11,7,39,9,1,0,TOP_LANE,1,0,1,0,0,1,HEXTECH_DRAGON,1,0
KR_6419001612,FALSE,26900,1840,42,8.4,358,64,23428,0,9,8,10,29,7,1,0,BOT_LANE,1,0,0,1,0,1,WATER_DRAGON,1,0,TRUE,25329,2279,44,8.8,321,88,31626,1,8,9,11,44,5,0,0,,0,0,0,0,0,0,,0,1
KR_6415701292,FALSE,20594,2314,41,8.2,309,63,16880,0,4,11,3,24,14,0,0,,0,0,0,0,0,0,,0,1,TRUE,26361,3546,44,8.8,385,74,20411,1,11,4,13,34,9,1,0,TOP_LANE,1,0,1,0,0,1,"EARTH_DRAGON,FIRE_DRAGON",2,0
KR_6413750459,TRUE,26538,1658,44,8.8,378,99,28324,1,10,7,20,35,6,0,0,,0,0,0,0,0,0,HEXTECH_DRAGON,1,1,FALSE,24388,2634,45,9,384,72,22234,0,7,10,7,36,8,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0
KR_6409298037,TRUE,23788,2213,43,8.6,329,65,27834,1,8,6,11,36,14,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,FALSE,23011,2136,43,8.6,363,58,25061,0,6,8,8,36,9,0,0,,0,0,0,0,0,0,,0,1
KR_6424351818,TRUE,29664,3064,44,8.8,304,71,30283,1,21,10,37,31,9,1,0,BOT_LANE,1,0,0,1,0,1,"EARTH_DRAGON,CHEMTECH_DRAGON",2,0,FALSE,25797,3332,43,8.6,332,67,21899,0,10,21,14,27,8,0,0,,0,0,0,0,0,0,,0,1
KR_6425222611,TRUE,25434,4794,45,9,362,88,24727,0,5,8,4,41,14,1,0,TOP_LANE,1,0,1,0,0,1,"WATER_DRAGON,HEXTECH_DRAGON",2,1,FALSE,22375,2110,44,8.8,326,63,19584,1,8,5,5,106,9,0,0,,0,0,0,0,0,0,,0,0
KR_6407037965,TRUE,26644,2684,45,9,381,82,29280,1,13,7,14,37,18,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,FALSE,24461,3741,43,8.6,325,72,27457,0,7,13,11,40,14,0,0,,0,0,0,0,0,0,AIR_DRAGON,1,1
KR_6413509075,FALSE,23496,1301,41,8.2,321,67,20361,0,8,13,13,32,7,0,0,,0,0,0,0,0,0,,0,1,TRUE,28590,1645,44,8.8,369,72,31517,1,13,8,20,42,11,1,0,BOT_LANE,1,0,0,1,0,1,WATER_DRAGON,1,0
KR_6425000792,FALSE,24545,3835,44,8.8,367,76,20736,1,9,11,11,24,8,0,0,,0,0,0,0,0,0,,0,0,TRUE,27898,528,44,8.8,383,62,25343,0,11,9,22,34,7,1,0,MID_LANE,1,1,0,0,0,1,WATER_DRAGON,1,1
KR_6409853043,FALSE,29076,6356,44,8.8,348,92,30734,0,14,13,22,53,10,0,0,,0,0,0,0,0,0,,0,1,TRUE,26189,2984,42,8.4,298,51,31485,1,13,14,13,100,7,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0
KR_6414690438,FALSE,21892,2132,44,8.8,384,61,21666,0,5,10,7,29,9,0,0,,0,0,0,0,0,0,,0,0,TRUE,26731,3321,45,9,360,62,22920,1,10,5,9,29,13,1,0,BOT_LANE,1,0,0,1,0,1,EARTH_DRAGON,1,1
KR_6425163421,FALSE,25679,1724,43,8.6,351,56,25060,1,11,8,19,41,6,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,TRUE,26534,2964,43,8.6,367,84,26342,0,8,11,14,33,9,1,0,BOT_LANE,1,0,0,1,0,0,,0,1
KR_6411525910,TRUE,26749,974,44,8.8,409,68,32151,1,9,7,7,36,16,0,0,,0,0,0,0,0,0,AIR_DRAGON,1,1,FALSE,22851,3751,43,8.6,347,68,24187,0,7,9,9,33,13,1,0,MID_LANE,1,1,0,0,0,1,CHEMTECH_DRAGON,1,0
KR_6421795174,TRUE,26769,4669,45,9,364,72,29367,0,12,6,18,27,9,0,0,,0,0,0,0,0,0,,0,0,FALSE,22950,1905,43,8.6,360,60,24567,1,6,12,6,27,4,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1
KR_6410331782,TRUE,28551,3127,45,9,350,83,35925,0,17,9,14,30,11,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,HEXTECH_DRAGON",2,1,FALSE,22472,1342,43,8.6,337,54,25822,1,9,17,3,30,10,0,0,,0,0,0,0,0,0,,0,0
KR_6419333857,TRUE,23511,4296,45,9,366,62,24775,1,8,7,10,32,10,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,FALSE,25704,3704,43,8.6,379,74,20338,0,7,8,8,36,6,1,0,MID_LANE,1,1,0,0,0,0,,0,1
KR_6422482825,FALSE,24485,4430,41,8.2,295,76,23908,1,8,16,8,34,8,0,0,,1,1,0,0,0,0,WATER_DRAGON,1,1,TRUE,28164,5519,44,8.8,397,64,30711,0,16,8,20,38,17,1,0,BOT_LANE,1,0,0,1,0,1,HEXTECH_DRAGON,1,0
KR_6414419250,FALSE,24233,1903,42,8.4,336,48,26397,0,8,20,8,38,7,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,TRUE,30008,3008,46,9.2,343,63,32790,1,20,8,21,34,22,1,0,MID_LANE,1,1,0,0,0,0,,0,1
KR_6399016392,TRUE,23442,4272,47,9.4,427,80,19523,0,4,5,6,40,13,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,FALSE,23966,2766,45,9,398,88,19912,1,5,4,3,35,12,0,0,,0,0,0,0,0,0,,0,1
KR_6423029675,FALSE,25022,3132,43,8.6,367,42,23646,1,8,11,10,36,7,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,TRUE,25357,4572,45,9,390,74,27862,0,11,8,8,23,16,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0
KR_6408255014,TRUE,30756,6041,48,9.6,407,56,27906,1,19,4,22,31,9,0,0,,0,0,0,0,0,0,,0,1,FALSE,21355,1420,42,8.4,326,76,20827,0,4,19,2,34,7,1,0,TOP_LANE,1,0,1,0,0,1,HEXTECH_DRAGON,1,0
KR_6423933089,FALSE,21890,2195,42,8.4,345,56,16193,1,5,11,2,46,9,0,0,,0,0,0,0,0,0,,0,1,TRUE,25728,2753,46,9.2,322,84,21324,0,11,5,14,30,11,1,0,BOT_LANE,1,0,0,1,0,1,"FIRE_DRAGON,AIR_DRAGON",2,0
KR_6417858212,FALSE,21388,2538,40,8,324,68,23694,1,5,23,6,32,8,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,TRUE,33545,4400,47,9.4,391,92,40177,0,23,5,29,33,10,1,0,MID_LANE,3,2,1,0,0,0,AIR_DRAGON,1,1
KR_6416771544,TRUE,25199,3328,43,8.6,323,76,28007,0,10,14,16,52,11,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,FALSE,28176,2906,46,9.2,411,84,30145,1,14,10,14,34,16,1,0,TOP_LANE,1,0,1,0,0,0,HEXTECH_DRAGON,1,1
KR_6413746363,FALSE,23298,3373,45,9,353,86,21261,1,5,16,4,24,8,0,0,,0,0,0,0,0,0,,0,1,TRUE,27484,2089,46,9.2,364,77,30623,0,16,5,13,44,7,0,0,,0,0,0,0,0,1,"AIR_DRAGON,HEXTECH_DRAGON",2,0
KR_6415769791,TRUE,28861,3976,45,9,356,93,24779,0,12,7,13,24,12,1,0,TOP_LANE,2,1,1,0,0,0,,0,1,FALSE,22954,2969,42,8.4,335,62,21278,1,7,12,11,28,8,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0
KR_6403885628,TRUE,30137,4322,45,9,402,86,24461,1,12,6,16,33,17,1,0,BOT_LANE,2,0,1,1,0,1,HEXTECH_DRAGON,1,1,FALSE,23541,4481,44,8.8,322,98,19247,0,6,12,12,80,8,0,0,,0,0,0,0,0,0,FIRE_DRAGON,1,0
KR_6414708910,TRUE,27820,4025,45,9,372,76,30712,1,13,9,17,26,11,1,0,MID_LANE,1,1,0,0,0,0,,0,1,FALSE,24127,5252,45,9,357,68,19912,0,9,13,8,39,7,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0
KR_6424058772,FALSE,23824,2539,43,8.6,356,66,19586,1,6,4,10,37,10,0,0,,0,0,0,0,0,0,EARTH_DRAGON,1,1,TRUE,25199,5339,46,9.2,401,95,19397,0,4,6,5,33,11,1,0,MID_LANE,1,1,0,0,0,1,FIRE_DRAGON,1,0
KR_6414797310,FALSE,26699,4103,44,8.8,410,80,22577,0,9,11,16,35,11,0,0,,0,0,0,0,0,0,,0,1,TRUE,26624,3224,44,8.8,382,76,26347,1,11,9,16,42,17,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0
KR_6420374855,TRUE,30997,3748,46,9.2,374,90,33714,1,17,3,21,25,11,1,0,BOT_LANE,2,1,0,1,0,1,"AIR_DRAGON,EARTH_DRAGON",2,1,FALSE,19596,1956,40,8,294,63,20782,0,3,17,3,25,6,0,0,,0,0,0,0,0,0,,0,0
KR_6421798766,FALSE,25160,4565,44,8.8,351,69,30719,1,12,13,12,24,9,0,0,,0,0,0,0,0,0,,0,1,TRUE,26266,5416,45,9,332,64,27454,0,13,12,15,39,7,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,WATER_DRAGON",2,0
KR_6419739550,TRUE,30924,6109,45,9,373,64,38630,1,14,4,14,35,10,1,0,BOT_LANE,2,1,0,1,0,1,EARTH_DRAGON,1,0,FALSE,21963,1988,42,8.4,359,65,21431,0,4,14,4,27,7,0,0,,0,0,0,0,0,0,,0,1
KR_6414279110,TRUE,28053,4638,45,9,364,108,25554,1,12,11,19,25,10,0,0,,0,0,0,0,0,0,,0,1,FALSE,26867,3677,45,9,376,88,25746,0,11,12,14,27,10,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0
KR_6404490987,FALSE,26703,2082,44,8.8,340,49,27180,1,14,14,15,31,6,0,0,,0,0,0,0,0,0,,0,1,TRUE,27369,4319,44,8.8,367,66,34996,0,14,14,10,34,10,0,0,,0,0,0,0,0,1,"FIRE_DRAGON,AIR_DRAGON",2,0
KR_6423885571,FALSE,26173,2683,44,8.8,373,72,28891,0,11,13,19,37,10,0,0,,0,0,0,0,0,0,,0,1,TRUE,26242,1567,44,8.8,369,65,31547,1,13,11,25,26,10,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0
KR_6413899848,FALSE,26015,4130,43,8.6,313,68,31378,0,11,23,13,31,7,0,0,,0,0,0,0,0,0,,0,0,TRUE,34579,8399,47,9.4,312,88,34148,1,23,11,22,30,12,1,0,TOP_LANE,4,0,2,2,0,1,EARTH_DRAGON,1,1
KR_6425245790,FALSE,25064,1460,44,8.8,357,80,27261,0,6,4,10,46,13,0,0,,0,0,0,0,0,0,,0,1,TRUE,22028,2808,42,8.4,339,78,18974,1,4,6,3,40,13,0,0,,0,0,0,0,0,0,,0,0
KR_6421952598,TRUE,31749,5414,45,9,328,80,33246,0,23,9,21,63,9,1,0,MID_LANE,2,1,0,1,0,1,FIRE_DRAGON,1,1,FALSE,25378,1758,40,8,343,35,29210,1,9,23,11,31,10,0,0,,0,0,0,0,0,0,,0,0
KR_6423996021,FALSE,20964,2609,41,8.2,357,68,17816,0,1,16,1,35,6,0,0,,0,0,0,0,0,0,,0,0,TRUE,28915,4380,46,9.2,384,96,28684,1,16,1,15,33,11,1,0,BOT_LANE,1,0,0,1,0,1,"EARTH_DRAGON,WATER_DRAGON",2,1
KR_6402563632,FALSE,25309,1789,40,8,317,68,28242,1,9,19,9,33,10,0,0,,0,0,0,0,0,0,,0,1,TRUE,27926,1297,45,9,285,80,27513,0,19,9,20,27,13,1,0,BOT_LANE,1,0,0,1,0,1,"FIRE_DRAGON,HEXTECH_DRAGON",2,0
KR_6411545075,TRUE,27438,3303,45,9,336,70,27671,1,13,7,16,35,7,0,0,,0,0,0,0,0,0,,0,1,FALSE,25685,2195,44,8.8,369,78,23664,0,7,13,11,23,4,1,0,MID_LANE,1,1,0,0,0,1,"WATER_DRAGON,FIRE_DRAGON",2,0
KR_6409326473,TRUE,29914,2589,45,9,347,60,39597,1,16,6,21,32,30,1,0,BOT_LANE,1,0,0,1,0,1,CHEMTECH_DRAGON,1,1,FALSE,22727,1957,44,8.8,369,74,24619,0,6,16,4,65,4,0,0,,0,0,0,0,0,0,,0,0
KR_6416794605,FALSE,25169,2299,43,8.6,331,88,21738,1,7,11,8,31,6,1,0,TOP_LANE,2,0,2,0,0,0,,0,1,TRUE,27115,2055,46,9.2,364,58,25833,0,11,7,11,30,9,0,0,,1,0,0,1,0,1,CHEMTECH_DRAGON,1,0
KR_6420015182,TRUE,28260,6130,44,8.8,382,56,30745,1,15,11,13,34,12,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,FALSE,23777,2572,39,7.8,319,58,27717,0,11,15,21,31,13,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0
KR_6414739431,TRUE,26763,2093,45,9,388,76,22162,0,8,7,11,22,12,1,0,TOP_LANE,2,0,2,0,0,0,,0,1,FALSE,23688,3523,44,8.8,304,80,22685,1,7,8,15,28,7,0,0,,1,0,0,1,0,1,"EARTH_DRAGON,AIR_DRAGON",2,0
KR_6417290180,TRUE,25027,2521,46,9.2,392,88,22503,1,9,4,5,20,8,0,0,,0,0,0,0,0,0,EARTH_DRAGON,1,1,FALSE,22551,2786,44,8.8,376,75,20670,0,4,9,3,27,5,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0
KR_6418308074,TRUE,32378,4523,46,9.2,357,84,48287,1,23,12,23,48,33,1,0,BOT_LANE,1,0,0,1,0,1,FIRE_DRAGON,1,1,FALSE,25038,1603,44,8.8,297,64,30653,0,12,23,16,73,9,0,0,,1,0,0,1,0,0,,0,0
KR_6415572216,TRUE,32766,4986,46,9.2,366,56,39368,1,22,8,30,35,6,0,0,,2,1,1,0,0,1,"WATER_DRAGON,HEXTECH_DRAGON",2,1,FALSE,23350,2430,41,8.2,314,79,22619,0,8,22,18,22,13,1,0,BOT_LANE,1,0,0,1,0,0,,0,0
KR_6413476071,TRUE,28351,3691,45,9,360,70,32739,0,15,14,11,54,6,1,0,BOT_LANE,1,0,0,1,0,1,EARTH_DRAGON,1,0,FALSE,26659,2654,44,8.8,343,66,29160,1,14,15,14,31,7,0,0,,0,0,0,0,0,0,,0,1
