blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
1,12900,27,192,49,10393,0,7,5,8,14,3,0,0,0,0,0,0,0,1,1,0,18066,37,212,47,14161,1,5,7,6,23,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,12776,27,198,44,10673,0,5,9,7,46,8,0,0,0,0,0,0,0,1,1,0,20406,39,232,63,16821,1,9,5,16,22,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,12981,26,169,47,16141,1,6,9,9,20,2,0,0,0,0,0,0,0,1,1,0,18673,35,181,39,19921,0,9,6,8,68,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,12407,26,150,33,12325,0,7,10,5,20,3,0,0,0,0,0,0,0,0,0,0,19563,36,210,46,18010,1,10,7,7,14,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,11954,27,199,36,9387,1,3,6,4,19,3,0,0,0,0,0,0,0,0,0,0,17389,38,236,44,12166,0,6,3,5,15,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,14462,26,187,54,15865,1,9,5,7,17,3,0,0,0,0,0,0,0,1,1,1,17395,36,201,42,14624,0,5,9,3,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,12076,26,163,44,8111,1,6,4,10,14,1,0,0,0,0,0,0,0,0,0,0,18960,40,282,52,12549,0,4,6,5,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,10102,25,168,29,8182,0,2,10,0,7,3,0,0,0,0,0,0,0,0,0,0,20076,40,215,50,15715,1,10,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12547,24,165,38,12679,1,7,13,7,11,8,0,0,0,0,0,0,0,0,0,0,20209,35,179,44,15515,0,13,7,21,13,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,12352,27,200,56,9871,1,3,4,4,17,2,0,0,0,0,0,0,0,1,1,0,17189,40,231,51,12269,0,4,3,3,16,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,11813,25,175,38,7907,0,3,6,4,41,4,0,0,0,0,0,0,0,0,0,1,16871,36,184,45,12942,1,6,3,7,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12159,25,158,42,13587,1,6,13,6,9,2,0,0,0,0,0,0,0,0,0,0,21520,39,216,49,19897,0,13,6,14,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12883,27,191,48,11648,1,6,2,7,12,2,0,0,0,0,0,0,0,0,0,0,17030,37,245,44,11194,0,2,6,2,13,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12850,26,200,52,7350,0,4,3,6,17,5,0,0,0,0,0,0,0,0,0,0,16558,37,240,48,10364,1,3,4,1,23,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12914,27,197,40,12773,0,6,8,3,20,2,0,0,0,0,0,0,0,0,0,1,19389,36,210,52,14150,1,8,6,9,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13284,26,207,36,13217,1,8,3,10,20,4,0,0,0,0,0,0,0,0,0,0,16024,36,202,52,13304,0,3,8,2,15,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,13122,26,195,56,11912,0,5,5,7,13,4,0,0,0,0,0,0,0,0,0,0,16345,36,177,32,12574,1,5,5,3,19,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,13498,27,201,47,11926,0,7,10,8,30,3,0,0,0,0,0,0,0,0,0,0,18243,37,189,45,17509,1,10,7,11,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12383,27,203,51,10119,1,4,2,5,12,1,0,0,0,0,0,0,0,0,0,0,15152,37,214,36,12008,0,2,4,3,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12526,27,187,50,13407,0,7,5,4,13,5,0,0,0,0,0,0,0,0,0,0,17607,39,201,41,15914,1,5,7,4,14,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,11652,26,181,44,8050,0,3,10,5,22,3,0,0,0,0,0,0,0,0,0,0,20446,37,238,52,18024,1,10,3,16,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12756,26,191,54,13461,1,5,5,6,13,3,0,0,0,0,0,0,0,0,0,1,17051,37,211,35,14708,0,5,5,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13258,25,167,36,13477,0,7,8,9,20,2,0,0,0,0,0,0,0,0,0,0,18577,37,224,46,18772,1,8,7,11,18,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,14941,26,188,44,15088,1,11,9,11,23,6,0,0,0,0,0,0,0,0,0,0,18026,35,149,44,18089,0,9,11,10,18,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,13290,28,198,48,10827,1,6,5,13,17,5,0,0,0,0,0,0,0,0,0,0,17444,37,228,48,11759,0,5,6,3,16,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,11898,28,211,41,7039,1,2,4,2,18,3,0,0,0,0,0,0,0,1,1,0,16895,38,241,50,10972,0,4,2,5,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,12449,26,190,28,12637,0,6,5,7,17,5,0,0,0,0,0,0,0,0,0,0,16794,38,208,40,14543,1,5,6,2,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13164,26,173,43,13239,1,8,6,10,15,2,0,0,0,0,0,0,0,0,0,0,16917,36,200,40,14081,0,6,8,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12681,28,203,54,11493,0,3,7,3,13,2,0,0,0,0,0,0,0,1,1,0,17531,36,191,41,17416,1,7,3,6,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,13421,29,222,55,8374,0,4,6,12,14,2,0,0,0,0,0,0,0,0,0,1,17483,36,218,56,11543,1,6,4,9,15,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,13293,27,226,44,10722,1,6,4,5,22,2,0,0,0,0,0,0,0,1,1,0,16351,34,201,48,11074,0,4,6,3,14,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,13544,27,194,44,12730,0,6,8,6,21,4,0,0,0,0,0,0,0,1,1,0,18141,36,231,36,11807,1,8,6,11,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,11897,26,190,52,11845,1,3,9,1,20,0,0,0,0,0,0,0,0,0,0,0,19525,37,201,56,18643,0,9,3,10,16,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12316,26,170,48,9418,0,6,5,11,23,5,0,0,0,0,0,0,0,1,1,0,16777,32,193,28,15471,1,5,6,4,62,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,12569,26,170,52,11743,0,4,6,6,10,3,0,0,0,0,0,0,0,1,1,0,18317,38,225,47,12864,1,6,4,7,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,12533,26,137,39,8919,1,7,7,7,18,2,0,0,0,0,0,0,0,0,0,0,18070,37,250,36,16875,0,7,7,5,17,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12722,27,197,52,14291,1,5,7,6,36,3,0,0,0,0,0,0,0,0,0,0,18075,38,207,36,16525,0,7,5,6,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12555,26,176,48,12583,0,6,8,6,19,1,0,0,0,0,0,0,0,0,0,0,19870,38,245,64,16643,1,8,6,9,33,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,12941,27,188,34,13736,1,6,4,12,17,3,0,0,0,0,0,0,0,0,0,0,16367,36,210,52,15975,0,4,6,3,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12858,28,184,48,12310,0,8,4,6,136,2,0,0,0,0,0,0,0,0,0,0,18089,39,187,80,16724,1,4,8,4,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13281,27,204,40,15259,1,6,5,6,16,3,0,0,0,0,0,0,0,0,0,0,17424,38,211,59,12918,0,5,6,11,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12438,26,162,46,12597,1,6,6,6,13,2,0,0,0,0,0,0,0,0,0,1,18556,38,227,32,21738,0,6,6,7,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12168,27,195,38,10498,0,3,2,2,18,2,0,0,0,0,0,0,0,0,0,0,16191,38,216,48,10508,1,2,3,1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12596,27,185,51,11625,0,6,5,8,15,2,0,0,0,0,0,0,0,0,0,1,18452,38,207,44,14792,1,5,6,9,12,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,12119,25,170,35,10212,1,4,4,6,17,7,0,0,0,0,0,0,0,0,0,0,16406,34,188,46,11016,0,4,4,6,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12600,27,193,48,13468,1,6,1,4,19,4,0,0,0,0,0,0,0,0,0,0,15722,36,225,52,11371,0,1,6,2,19,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11867,26,164,44,10155,0,5,12,3,10,0,0,0,0,0,0,0,0,0,0,1,20988,38,233,43,18048,1,12,5,15,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12319,27,206,37,11389,0,5,8,6,16,3,0,0,0,0,0,0,0,0,0,0,18306,39,227,43,16831,1,8,5,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14595,27,178,35,17983,0,9,9,11,15,6,0,0,0,0,0,0,0,0,0,0,18406,36,190,44,20362,1,9,9,7,232,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,13527,28,207,44,9160,0,7,7,8,14,2,0,0,0,0,0,0,0,0,0,0,17786,36,185,56,12841,1,7,7,9,16,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,14458,28,223,42,10592,0,9,4,9,17,4,0,0,0,0,0,0,0,0,0,0,17306,38,201,47,12402,1,4,9,6,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11529,26,185,44,9360,0,4,2,4,22,1,0,0,0,0,0,0,0,1,1,0,16095,37,208,52,11123,1,2,4,4,28,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,13699,29,212,56,11840,0,7,2,6,64,7,0,0,0,0,0,0,0,0,0,1,16045,38,221,52,9073,1,2,7,2,15,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,12566,25,139,32,8336,1,6,7,8,26,3,0,0,0,0,0,0,0,0,0,0,18398,35,206,52,15922,0,7,6,11,25,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,12722,28,192,48,10424,0,6,4,4,16,6,0,0,0,0,0,0,0,0,0,0,16791,36,220,44,12771,1,4,6,3,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14206,26,187,48,12561,1,9,8,6,17,7,0,0,0,0,0,0,0,0,0,0,18473,37,216,48,19674,0,8,9,7,23,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,10563,27,186,52,8783,0,1,6,0,14,1,0,0,0,0,0,0,0,0,0,0,17034,39,202,59,12893,1,6,1,6,15,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,12631,26,202,47,9154,1,5,4,6,15,3,0,0,0,0,0,0,0,1,1,0,17923,40,232,64,11466,0,4,5,2,11,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,13869,25,175,48,11019,0,8,7,16,17,4,0,0,0,0,0,0,0,0,0,0,17880,36,226,32,15989,1,7,8,7,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16653,27,165,36,17586,0,17,9,16,28,12,0,0,0,0,0,0,0,0,0,0,19820,36,185,39,20409,1,9,17,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15105,27,186,43,14799,1,11,4,13,40,4,0,0,0,0,0,0,0,0,0,0,16528,34,205,24,11449,0,4,11,4,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10970,25,185,40,12291,0,2,6,3,14,3,0,0,0,0,0,0,0,0,0,0,18375,39,239,40,13429,1,6,2,8,30,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,11561,27,202,48,8573,0,2,3,3,13,5,0,0,0,0,0,0,0,0,0,0,16315,36,247,42,9126,1,3,2,2,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13353,28,229,48,9515,0,4,4,4,18,4,0,0,0,0,0,0,0,0,0,0,16214,37,215,43,10936,1,4,4,8,14,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,14019,27,193,32,13006,1,8,3,11,14,4,0,0,0,0,0,0,0,0,0,0,16203,36,223,47,14963,0,3,8,5,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12986,27,183,44,11608,1,6,3,5,15,6,0,0,0,0,0,0,0,1,1,1,15386,37,166,63,13770,0,3,6,2,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,12683,27,220,60,7360,0,2,4,0,32,0,0,0,0,0,0,0,0,0,0,1,16224,40,206,60,10869,1,4,2,0,14,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,14373,27,188,53,15243,1,9,5,8,17,2,0,0,0,0,0,0,0,0,0,1,16339,36,194,46,12059,0,5,9,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12813,25,164,48,11538,0,9,9,8,15,1,0,0,0,0,0,0,0,0,0,0,20125,36,215,45,19292,1,9,9,9,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10579,25,169,31,9273,0,3,7,6,16,4,0,0,0,0,0,0,0,0,0,0,17932,36,202,56,13499,1,7,3,5,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11984,27,221,48,7645,0,3,8,1,13,5,0,0,0,0,0,0,0,0,0,0,19671,41,267,47,15732,1,8,3,7,14,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0,12596,27,225,52,10275,0,2,5,3,12,4,0,0,0,0,0,0,0,0,0,0,18072,39,225,56,12602,1,5,2,6,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,15627,25,160,31,15523,1,12,8,20,15,1,0,0,0,0,0,0,0,0,0,0,18280,30,149,49,23282,0,8,12,16,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14725,27,184,44,13244,1,10,3,13,15,3,0,0,0,0,0,0,0,0,0,0,17805,38,197,40,15298,0,3,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13296,28,218,56,9449,1,4,4,2,18,2,0,0,0,0,0,0,0,0,0,0,15970,39,201,60,6977,0,4,4,3,10,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14573,28,203,52,14311,0,5,11,4,15,2,0,0,0,0,0,0,0,0,0,1,18032,35,154,36,16045,1,11,5,13,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14919,27,191,39,12770,1,11,3,12,20,5,0,0,0,0,0,0,0,1,1,0,16064,37,237,44,15575,0,3,11,1,14,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,11766,27,188,40,9702,0,4,3,6,15,4,0,0,0,0,0,0,0,0,0,0,17032,37,229,48,15132,1,3,4,5,16,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,12965,28,211,54,13740,0,5,8,2,88,8,0,0,0,0,0,0,0,1,1,0,18940,38,209,35,16706,1,8,5,11,58,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,12121,23,169,16,11381,0,9,12,8,17,4,0,0,0,0,0,0,0,0,0,0,20663,37,191,40,22440,1,12,9,13,19,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,13488,27,174,44,13963,1,9,3,11,19,5,0,0,0,0,0,0,0,1,1,0,15758,35,172,60,13753,0,3,9,2,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,12820,27,203,46,12184,1,4,10,5,12,1,0,0,0,0,0,0,0,1,1,0,19338,36,188,42,18435,0,10,4,16,14,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,12971,27,221,50,7975,1,3,2,4,18,15,0,0,0,0,0,0,0,1,1,0,15848,39,241,57,7919,0,2,3,1,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,14275,27,178,36,11322,0,9,11,12,16,4,0,0,0,0,0,0,0,0,0,0,18477,33,165,47,16933,1,11,9,18,28,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,11913,27,190,40,11974,0,4,4,2,102,2,0,0,0,0,0,0,0,0,0,0,16347,39,206,67,11254,1,4,4,4,17,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,11965,25,183,48,9591,0,3,11,4,17,3,0,0,0,0,0,0,0,0,0,0,19985,37,235,32,14233,1,11,3,18,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12198,26,186,44,8978,0,4,3,5,15,1,0,0,0,0,0,0,0,0,0,0,16684,37,213,48,11820,1,3,4,3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12095,28,208,31,12546,0,3,7,2,16,3,0,0,0,0,0,0,0,0,0,0,17374,39,250,43,13829,1,7,3,6,17,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,14974,29,204,55,13847,1,9,1,9,15,2,0,0,0,0,0,0,0,1,1,0,14949,39,223,47,15146,0,1,9,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,14470,27,211,32,12996,1,8,6,9,14,2,0,0,0,0,0,0,0,0,0,1,18733,38,226,52,14506,0,6,8,6,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13247,26,186,48,12339,1,6,5,10,25,2,0,0,0,0,0,0,0,1,1,1,16991,36,215,44,14235,0,5,6,4,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,11082,28,195,44,7713,0,1,11,1,15,6,0,0,0,0,0,0,0,0,0,0,19899,37,211,38,17900,1,11,1,20,27,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,11474,25,183,40,9475,0,4,10,3,11,3,0,0,0,0,0,0,0,0,0,0,20362,37,238,48,20414,1,10,4,13,15,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,12353,27,185,56,10745,0,4,10,6,16,4,0,0,0,0,0,0,0,0,0,0,19330,39,221,40,16186,1,10,4,17,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14331,26,198,43,12247,1,9,2,9,16,4,0,0,0,0,0,0,0,0,0,1,16543,37,224,52,13232,0,2,9,4,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14367,28,216,47,11606,1,7,7,12,46,3,0,0,0,0,0,0,0,1,1,0,17417,35,167,40,17188,0,7,7,12,14,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,12043,28,207,44,9553,0,3,4,1,15,1,0,0,0,0,0,0,0,0,0,0,16945,37,212,44,13282,1,4,3,5,18,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,13607,28,199,56,6038,1,4,4,6,11,4,0,0,0,0,0,0,0,0,0,0,16344,37,214,40,13266,0,4,4,4,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10272,24,161,64,8090,0,1,11,1,14,0,0,0,0,0,0,0,0,0,0,0,20295,37,185,48,15790,1,11,1,16,24,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,13190,27,208,40,7985,0,5,7,3,15,2,0,0,0,0,0,0,0,0,0,0,18114,37,209,52,13308,1,7,5,6,17,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1,12858,27,194,40,10230,1,6,5,8,13,9,0,0,0,0,0,0,0,0,0,0,16484,36,186,48,15260,0,5,6,5,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
